lista_num,lista_nome,candidato_sindaco_num,candidato_sindaco_nome,candidato_num,candidato_nome,cifra_individuale,preferenze
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,21,TAVELLA ANASTASIA,747,8
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,4,BOCCASSINI MARCO,746,7
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,7,CECI SIMONE,746,7
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,24,GADALETA VITANTONIO,745,6
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,3,COPPOLECCHIA MICHELE,743,4
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,16,de GENNARO MARILINDA,743,4
9,LA CITTA' IN COMUNE,2,MASTROPASQUA PIETRO PAOLO,1,DE PALO VINCENZO,742,3
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,7,GERMINARIO IPPOLITA,1840,361
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,5,BUFI NICOLA MICHELE (detto NICO),1738,259
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,17,SALVEMINI PASQUALE FABIO,1704,225
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,8,la GRASTA MICHELE,1641,162
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,21,SQUEO MAURO,1604,125
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,12,MONTEBELLO ANGELA,1596,117
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,24,ZACCARIA DANILO,1574,95
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,19,SOLIMINI ANNAMARIA,1567,88
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,13,NAPOLETANO NICOLÒ,1552,73
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,22,VALENTE GIUSEPPE,1547,68
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,15,PASCULLI MARIA,1543,64
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,3,BINETTI ANTONELLA,1537,58
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,11,MODUGNO DOMENICO (detto MIMMO),1527,48
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,6,CIOCE VINCENZO,1524,45
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,20,SPADAVECCHIA GIACOMINA (detta MINA),1520,41
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,1,AMATO MARCO,1517,38
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,18,SCIANCALEPORE DOMENICO,1511,32
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,9,MARZOCCA GRAZIANO,1509,30
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,10,MODUGNO GABRIELLA (detta GABRY),1505,26
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,16,RICCHITELLI ROBERTO,1502,23
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,23,VISAGGIO STEFANO,1495,16
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,4,BRATTOLI FILOMENA (detta FLORA),1494,15
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,2,BALACCO DAVIDE,1491,12
10,OBIETTIVO MOLFETTA,2,MASTROPASQUA PIETRO PAOLO,14,PALUMBO FILOMENA (detta FLORIANA),1486,7
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,12,FAVUZZI ALESSANDRO,753,197
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,5,CAPURSI NAPPI PIETRO ANGELO (detto NAPPI),660,104
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,8,de GENNARO MARIA DOMENICA (detta MENICA),628,72
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,1,AMATO EROS,626,70
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,3,ANNESE FABIO,619,63
11,NUOVO PSI - PRI,2,MASTROPASQUA PIETRO PAOLO,19,SPACCAVENTO CRISTOFORO,593,37
